======================================================================
  EXPERIMENT LOG
  Started : 2026-04-18 19:09:44
  File    : 2026-04-18_19-09_pw5_lr0.001_hs512.log
======================================================================

-- HYPERPARAMETERS --------------------------------------------------

  [ Model ]
  input_features     : 84
  hidden_size        : 512
  lstm_layers        : 3
  dropout            : 0.4

  [ Training ]
  batch_size         : 16
  learning_rate      : 0.001
  epochs             : 100
  pos_weight         : 5
  scheduler_patience : 8
  scheduler_factor   : 0.5

  [ Dataset ]
  chunk_duration     : 3.0 s
  sample_rate        : 22050 Hz

  [ Evaluation ]
  threshold          : 0.45

-- TRAINING ---------------------------------------------------------

  Epoch    Loss         LR             Time      
  -------- ------------ -------------- ----------
  1        0.346814     0.001000       56.4s     
  2        0.321437     0.001000       56.5s     
  3        0.323761     0.001000       57.1s     
  4        0.321634     0.001000       57.9s     
  5        0.315642     0.001000       57.7s     
  6        0.322731     0.001000       56.8s     
  7        0.329346     0.001000       57.1s     
  8        0.319903     0.001000       57.4s     
  9        0.317736     0.001000       56.6s     
  10       0.322739     0.001000       57.4s     
  11       0.315852     0.001000       58.4s     
  12       0.319112     0.001000       58.4s     
  13       0.311500     0.001000       57.6s     
  14       0.311313     0.001000       57.6s     
  15       0.307883     0.001000       58.2s     
  16       0.310513     0.001000       58.2s     
  17       0.309210     0.001000       57.8s     
  18       0.309670     0.001000       58.5s     
  19       0.308300     0.001000       58.3s     
  20       0.303646     0.001000       59.1s     
  21       0.295856     0.001000       58.6s     
  22       0.294501     0.001000       60.7s     
  23       0.290089     0.001000       58.6s     
  24       0.293864     0.001000       59.8s     
  25       0.288322     0.001000       60.5s     
  26       0.285174     0.001000       57.5s     
  27       0.287520     0.001000       57.6s     
  28       0.285735     0.001000       58.4s     
  29       0.278946     0.001000       60.4s     
  30       0.281920     0.001000       59.4s     
  31       0.275212     0.001000       58.6s     
  32       0.275557     0.001000       58.6s     
  33       0.277211     0.001000       57.8s     
  34       0.268706     0.001000       58.7s     
  35       0.273597     0.001000       59.5s     
  36       0.263964     0.001000       59.2s     
  37       0.259998     0.001000       58.2s     
  38       0.259450     0.001000       59.0s     
  39       0.258089     0.001000       60.8s     
  40       0.255621     0.001000       59.6s     
  41       0.254063     0.001000       58.3s     
  42       0.248964     0.001000       59.9s     
  43       0.252697     0.001000       57.6s     
  44       0.242855     0.001000       58.5s     
  45       0.242068     0.001000       59.6s     
  46       0.241461     0.001000       59.3s     
  47       0.240076     0.001000       59.0s     
  48       0.236395     0.001000       58.5s     
  49       0.241900     0.001000       58.5s     
  50       0.235560     0.001000       60.1s     
  51       0.234362     0.001000       58.0s     
  52       0.224015     0.001000       57.9s     
  53       0.218452     0.001000       60.2s     
  54       0.213862     0.001000       58.6s     
  55       0.222342     0.001000       59.4s     
  56       0.210028     0.001000       58.9s     
  57       0.209952     0.001000       58.0s     
  58       0.207473     0.001000       58.2s     
  59       0.199882     0.001000       58.6s     
  60       0.204904     0.001000       58.5s     
  61       0.193398     0.001000       59.5s     
  62       0.197037     0.001000       58.8s     
  63       0.190832     0.001000       58.0s     
  64       0.192883     0.001000       58.5s     
  65       0.188963     0.001000       58.0s     
  66       0.190110     0.001000       59.2s     
  67       0.183915     0.001000       58.8s     
  68       0.184771     0.001000       56.7s     
  69       0.179306     0.001000       59.4s     
  70       0.186987     0.001000       60.9s     
  71       0.178398     0.001000       58.2s     
  72       0.181034     0.001000       58.6s     
  73       0.178749     0.001000       57.9s     
  74       0.170876     0.001000       59.5s     
  75       0.171145     0.001000       58.0s     
  76       0.170667     0.001000       58.2s     
  77       0.169925     0.001000       58.0s     
  78       0.165623     0.001000       59.1s     
  79       0.163392     0.001000       59.4s     
  80       0.172587     0.001000       58.2s     
  81       0.160484     0.001000       59.7s     
  82       0.155135     0.001000       58.1s     
  83       0.163742     0.001000       58.6s     
  84       0.158830     0.001000       58.6s     
  85       0.160958     0.001000       58.1s     
  86       0.155155     0.001000       57.5s     
  87       0.152913     0.001000       58.7s     
  88       0.153462     0.001000       57.8s     
  89       0.149500     0.001000       59.8s     
  90       0.147353     0.001000       58.9s     
  91       0.150969     0.001000       58.0s     
  92       0.154209     0.001000       58.8s     
  93       0.147652     0.001000       59.2s     
  94       0.147025     0.001000       58.0s     
  95       0.145775     0.001000       59.2s     
  96       0.142554     0.001000       57.2s     
  97       0.146833     0.001000       59.5s     
  98       0.144684     0.001000       57.0s     
  99       0.145252     0.001000       57.8s     
  100      0.144359     0.001000       57.5s     

-- END OF TRAINING --------------------------------------------------

-- EVALUATION -------------------------------------------------------

  Evaluated at   : 2026-04-18 21:01:05
  Threshold      : 0.45

  Accuracy       : 0.9692
  Precision      : 0.4127
  Recall         : 0.7028
  F1-Score       : 0.5200

  Max prob       : 0.9965
  Mean prob      : 0.0531
  % active preds : 0.0405
  % active labels: 0.0238

======================================================================

