======================================================================
  EXPERIMENT LOG
  Started : 2026-04-18 15:58:31
  File    : 2026-04-18_15-58_pw10_lr0.0005_hs512.log
======================================================================

-- HYPERPARAMETERS --------------------------------------------------

  [ Model ]
  input_features     : 84
  hidden_size        : 512
  lstm_layers        : 3
  dropout            : 0.4

  [ Training ]
  batch_size         : 16
  learning_rate      : 0.0005
  epochs             : 150
  pos_weight         : 10
  scheduler_patience : 8
  scheduler_factor   : 0.5

  [ Dataset ]
  chunk_duration     : 3.0 s
  sample_rate        : 22050 Hz

  [ Evaluation ]
  threshold          : 0.35

-- TRAINING ---------------------------------------------------------

  Epoch    Loss         LR             Time      
  -------- ------------ -------------- ----------
  1        0.526411     0.000500       57.7s     
  2        0.498740     0.000500       55.4s     
  3        0.500579     0.000500       54.3s     
  4        0.495885     0.000500       57.8s     
  5        0.481499     0.000500       55.5s     
  6        0.483497     0.000500       54.7s     
  7        0.486764     0.000500       55.2s     
  8        0.467002     0.000500       77.7s     
  9        0.449888     0.000500       76.3s     
  10       0.452645     0.000500       77.2s     
  11       0.445683     0.000500       78.9s     
  12       0.447782     0.000500       79.4s     
  13       0.436251     0.000500       78.4s     
  14       0.434986     0.000500       77.2s     
  15       0.422098     0.000500       78.6s     
  16       0.415539     0.000500       77.9s     
  17       0.407602     0.000500       76.5s     
  18       0.400628     0.000500       77.9s     
  19       0.393215     0.000500       79.7s     
  20       0.381631     0.000500       79.1s     
  21       0.368953     0.000500       77.5s     
  22       0.367717     0.000500       80.1s     
  23       0.363157     0.000500       77.6s     
  24       0.367642     0.000500       78.3s     
  25       0.356333     0.000500       80.4s     
  26       0.351910     0.000500       75.6s     
  27       0.352810     0.000500       75.7s     
  28       0.351900     0.000500       77.3s     
  29       0.335984     0.000500       81.2s     
  30       0.341306     0.000500       80.3s     
  31       0.331459     0.000500       77.3s     
  32       0.335232     0.000500       77.8s     
  33       0.334415     0.000500       71.4s     
  34       0.318189     0.000500       56.0s     
  35       0.321635     0.000500       57.0s     
  36       0.313226     0.000500       55.7s     
  37       0.302108     0.000500       55.6s     
  38       0.298341     0.000500       56.2s     
  39       0.295002     0.000500       58.1s     
  40       0.291859     0.000500       56.6s     
  41       0.286186     0.000500       56.3s     
  42       0.279565     0.000500       56.7s     
  43       0.282874     0.000500       55.8s     
  44       0.269692     0.000500       56.3s     
  45       0.272414     0.000500       57.8s     
  46       0.270384     0.000500       56.4s     
  47       0.264323     0.000500       56.3s     
  48       0.260154     0.000500       56.7s     
  49       0.268363     0.000500       56.6s     
  50       0.264009     0.000500       57.4s     
  51       0.258691     0.000500       56.0s     
  52       0.247697     0.000500       56.2s     
  53       0.244890     0.000500       58.4s     
  54       0.244423     0.000500       57.0s     
  55       0.255536     0.000500       58.1s     
  56       0.243607     0.000500       57.0s     
  57       0.247744     0.000500       56.3s     
  58       0.247757     0.000500       56.2s     
  59       0.234964     0.000500       57.0s     
  60       0.243200     0.000500       57.0s     
  61       0.230270     0.000500       57.2s     
  62       0.234916     0.000500       57.0s     
  63       0.228471     0.000500       56.5s     
  64       0.231860     0.000500       56.7s     
  65       0.223702     0.000500       56.6s     
  66       0.229130     0.000500       57.8s     
  67       0.221867     0.000500       59.9s     
  68       0.220540     0.000500       55.7s     
  69       0.216684     0.000500       57.7s     
  70       0.225626     0.000500       59.3s     
  71       0.218475     0.000500       55.7s     
  72       0.222046     0.000500       56.9s     
  73       0.219550     0.000500       56.5s     
  74       0.209785     0.000500       57.8s     
  75       0.211835     0.000500       56.1s     
  76       0.211225     0.000500       56.7s     
  77       0.213040     0.000500       55.9s     
  78       0.209321     0.000500       57.2s     
  79       0.207770     0.000500       58.1s     
  80       0.217414     0.000500       56.4s     
  81       0.205363     0.000500       58.8s     
  82       0.197587     0.000500       56.6s     
  83       0.212624     0.000500       56.8s     
  84       0.205228     0.000500       57.4s     
  85       0.208306     0.000500       57.2s     
  86       0.201761     0.000500       56.3s     
  87       0.199020     0.000500       56.9s     
  88       0.197502     0.000500       57.1s     
  89       0.193586     0.000500       58.2s     
  90       0.194448     0.000500       58.5s     
  91       0.196957     0.000500       56.2s     
  92       0.203519     0.000500       58.1s     
  93       0.196415     0.000500       57.3s     
  94       0.194496     0.000500       56.5s     
  95       0.192590     0.000500       57.7s     
  96       0.188704     0.000500       56.5s     
  97       0.194583     0.000500       57.8s     
  98       0.193197     0.000500       56.7s     
  99       0.192024     0.000500       56.4s     
  100      0.192934     0.000500       56.3s     
  101      0.191736     0.000500       57.4s     
  102      0.190618     0.000500       56.7s     
  103      0.189352     0.000500       57.1s     
  104      0.191203     0.000500       57.5s     
  105      0.189494     0.000250       57.0s     
  106      0.182222     0.000250       57.6s     
  107      0.187721     0.000250       56.7s     
  108      0.186769     0.000250       56.5s     
  109      0.177467     0.000250       56.7s     
  110      0.180730     0.000250       56.4s     
  111      0.175276     0.000250       56.4s     
  112      0.176184     0.000250       56.5s     
  113      0.174503     0.000250       57.0s     
  114      0.173544     0.000250       58.4s     
  115      0.179848     0.000250       59.1s     
  116      0.175289     0.000250       58.3s     
  117      0.177719     0.000250       56.7s     
  118      0.171861     0.000250       57.7s     
  119      0.172713     0.000250       59.1s     
  120      0.175996     0.000250       57.1s     
  121      0.171490     0.000250       58.8s     
  122      0.181048     0.000250       56.7s     
  123      0.171762     0.000250       57.2s     
  124      0.173784     0.000250       58.2s     
  125      0.171774     0.000250       59.3s     
  126      0.170399     0.000250       56.8s     
  127      0.169281     0.000250       58.1s     
  128      0.174333     0.000250       58.3s     
  129      0.170560     0.000250       57.0s     
  130      0.170348     0.000250       56.9s     
  131      0.175176     0.000250       57.0s     
  132      0.168985     0.000250       57.1s     
  133      0.168986     0.000250       56.9s     
  134      0.174874     0.000250       58.4s     
  135      0.171901     0.000250       57.8s     
  136      0.169658     0.000250       57.3s     
  137      0.169840     0.000250       56.3s     
  138      0.166952     0.000250       59.2s     
  139      0.167522     0.000250       57.0s     
  140      0.170528     0.000250       56.9s     
  141      0.171470     0.000250       56.9s     
  142      0.166757     0.000250       57.9s     
  143      0.167043     0.000250       57.1s     
  144      0.167495     0.000250       57.4s     
  145      0.168417     0.000250       56.4s     
  146      0.166816     0.000250       57.3s     
  147      0.166861     0.000250       57.1s     
  148      0.166122     0.000250       59.9s     
  149      0.165514     0.000250       56.8s     
  150      0.164377     0.000250       59.0s     

-- END OF TRAINING --------------------------------------------------

-- EVALUATION -------------------------------------------------------

