======================================================================
  EXPERIMENT LOG
  Started : 2026-04-20 17:17:17
  File    : 2026-04-20_17-17_pw2.5_lr0.001_hs512.log
======================================================================

-- HYPERPARAMETERS --------------------------------------------------

  [ Model ]
  input_features     : 84
  hidden_size        : 512
  lstm_layers        : 3
  dropout            : 0.5

  [ Training ]
  batch_size         : 16
  learning_rate      : 0.001
  epochs             : 100
  pos_weight         : 2.5
  scheduler_patience : 8
  scheduler_factor   : 0.5

  [ Dataset ]
  chunk_duration     : 5.0 s
  sample_rate        : 22050 Hz

  [ Evaluation ]
  threshold          : 0.5

-- TRAINING ---------------------------------------------------------

  Epoch    Loss         LR             Time      
  -------- ------------ -------------- ----------
  1        0.222553     0.001000       56.7s     
  2        0.198109     0.001000       82.5s     
  3        0.198344     0.001000       81.2s     
  4        0.196868     0.001000       82.8s     
  5        0.193572     0.001000       80.5s     
  6        0.196896     0.001000       79.3s     
  7        0.203744     0.001000       80.8s     
  8        0.199504     0.001000       81.1s     
  9        0.196120     0.001000       79.0s     
  10       0.199101     0.001000       79.1s     
  11       0.200201     0.001000       80.6s     
  12       0.203201     0.001000       82.9s     
  13       0.199049     0.001000       79.6s     
  14       0.198690     0.000500       81.2s     
  15       0.196113     0.000500       81.1s     
  16       0.196932     0.000500       80.4s     
  17       0.198660     0.000500       80.5s     
  18       0.194247     0.000500       82.5s     
  19       0.195220     0.000500       83.4s     
  20       0.194004     0.000500       84.8s     
  21       0.190318     0.000500       82.1s     
  22       0.190638     0.000500       83.4s     
  23       0.190646     0.000500       79.7s     
  24       0.192902     0.000500       81.6s     
  25       0.192110     0.000500       82.5s     
  26       0.187277     0.000500       78.5s     
  27       0.192165     0.000500       78.3s     
  28       0.189600     0.000500       79.8s     
  29       0.185731     0.000500       84.4s     
  30       0.187721     0.000500       82.8s     
  31       0.189895     0.000500       80.0s     
  32       0.186930     0.000500       80.9s     
  33       0.189832     0.000500       80.4s     
  34       0.183494     0.000500       81.3s     
  35       0.184865     0.000500       83.2s     
  36       0.181193     0.000500       81.7s     
  37       0.179794     0.000500       80.4s     
  38       0.177833     0.000500       81.4s     
  39       0.180338     0.000500       85.4s     
  40       0.179229     0.000500       82.7s     
  41       0.178321     0.000500       80.9s     
  42       0.174905     0.000500       82.4s     
  43       0.177397     0.000500       79.8s     
  44       0.172017     0.000500       83.9s     
  45       0.172106     0.000500       85.3s     
  46       0.173805     0.000500       82.5s     
  47       0.170616     0.000500       83.7s     
  48       0.167752     0.000500       81.0s     
  49       0.167725     0.000500       82.1s     
  50       0.162417     0.000500       85.6s     
  51       0.163329     0.000500       80.2s     
  52       0.160446     0.000500       80.0s     
  53       0.154014     0.000500       84.4s     
  54       0.155462     0.000500       79.7s     
  55       0.162242     0.000500       84.0s     
  56       0.155472     0.000500       81.4s     
  57       0.154503     0.000500       78.8s     
  58       0.152538     0.000500       82.0s     
  59       0.150543     0.000500       83.4s     
  60       0.150098     0.000500       80.9s     
  61       0.145656     0.000500       81.8s     
  62       0.144821     0.000500       81.2s     
  63       0.139548     0.000500       79.6s     
  64       0.138880     0.000500       84.7s     
  65       0.136661     0.000500       84.5s     
  66       0.136582     0.000500       85.5s     
  67       0.132824     0.000500       84.3s     
  68       0.129206     0.000500       80.5s     
  69       0.125816     0.000500       87.4s     
  70       0.126023     0.000500       86.9s     
  71       0.122306     0.000500       84.0s     
  72       0.123061     0.000500       83.9s     
  73       0.121715     0.000500       81.5s     
  74       0.118251     0.000500       83.0s     
  75       0.116924     0.000500       80.9s     
  76       0.115056     0.000500       82.1s     
  77       0.116129     0.000500       79.7s     
  78       0.113724     0.000500       81.1s     
  79       0.111925     0.000500       82.8s     
  80       0.116369     0.000500       79.7s     
  81       0.109108     0.000500       83.3s     
  82       0.109130     0.000500       80.0s     
  83       0.108540     0.000500       78.9s     
  84       0.105446     0.000500       81.0s     
  85       0.109378     0.000500       82.6s     
  86       0.105070     0.000500       80.4s     
  87       0.102860     0.000500       80.9s     
  88       0.101488     0.000500       82.6s     
  89       0.102022     0.000500       81.6s     
  90       0.101141     0.000500       81.9s     
  91       0.100736     0.000500       80.1s     
  92       0.100807     0.000500       81.8s     
  93       0.097031     0.000500       81.2s     
  94       0.095239     0.000500       79.8s     
  95       0.099985     0.000500       80.4s     
  96       0.094466     0.000500       80.4s     
  97       0.095432     0.000500       82.2s     
  98       0.094888     0.000500       79.0s     
  99       0.093883     0.000500       79.7s     
  100      0.092808     0.000500       80.3s     

-- END OF TRAINING --------------------------------------------------

-- EVALUATION -------------------------------------------------------

  Evaluated at   : 2026-04-20 19:57:15
  Threshold      : 0.5

  Accuracy       : 0.9791
  Precision      : 0.5475
  Recall         : 0.5375
  F1-Score       : 0.5424

  Max prob       : 0.9947
  Mean prob      : 0.0385
  % active preds : 0.0226
  % active labels: 0.0230

======================================================================

