======================================================================
  EXPERIMENT LOG
  Started : 2026-04-12 16:08:42
  File    : 2026-04-12_16-08_pw5_lr0.001_hs256.log
======================================================================

-- HYPERPARAMETERS --------------------------------------------------

  [ Model ]
  input_features     : 84
  hidden_size        : 256
  lstm_layers        : 2
  dropout            : 0.3

  [ Training ]
  batch_size         : 12
  learning_rate      : 0.001
  epochs             : 20
  pos_weight         : 5
  scheduler_patience : 5
  scheduler_factor   : 0.5

  [ Dataset ]
  chunk_duration     : 7.0 s
  sample_rate        : 22050 Hz

  [ Evaluation ]
  threshold          : 0.2

-- TRAINING ---------------------------------------------------------

  Epoch    Loss         LR             Time      
  -------- ------------ -------------- ----------
  1        0.505398     0.001000       15.4s     
  2        0.427851     0.001000       14.6s     
  3        0.413098     0.001000       15.4s     
  4        0.400468     0.001000       16.3s     
  5        0.413296     0.001000       15.1s     
  6        0.400371     0.001000       15.2s     
  7        0.403138     0.001000       15.0s     
  8        0.404463     0.001000       15.1s     
  9        0.413229     0.001000       15.2s     
  10       0.414544     0.001000       15.6s     
  11       0.399394     0.001000       18.8s     
  12       0.418984     0.001000       21.1s     
  13       0.388994     0.001000       20.5s     
  14       0.405480     0.001000       21.1s     
  15       0.414418     0.001000       21.9s     
  16       0.407430     0.001000       22.4s     
  17       0.403551     0.001000       22.5s     
  18       0.397840     0.001000       22.7s     
  19       0.406760     0.000500       21.6s     
  20       0.391708     0.000500       21.6s     

-- END OF TRAINING --------------------------------------------------

