======================================================================
  EXPERIMENT LOG
  Started : 2026-04-27 17:02:51
  File    : 2026-04-27_17-02_pw5_lr0.001_hs256.log
======================================================================

-- HYPERPARAMETERS --------------------------------------------------

  [ Model ]
  input_features     : 1025
  hidden_size        : 256
  lstm_layers        : 2
  dropout            : 0.3

  [ Training ]
  batch_size         : 12
  learning_rate      : 0.001
  epochs             : 20
  pos_weight         : 5
  scheduler_patience : 5
  scheduler_factor   : 0.5

  [ Dataset ]
  chunk_duration     : 7.0 s
  sample_rate        : 22050 Hz

  [ Evaluation ]
  threshold          : 0.2

-- TRAINING ---------------------------------------------------------

  Epoch    Loss         LR             Time      
  -------- ------------ -------------- ----------
  1        0.499258     0.001000       27.4s     
  2        0.417436     0.001000       29.1s     
  3        0.409771     0.001000       32.0s     
  4        0.418071     0.001000       30.9s     
  5        0.406173     0.001000       32.0s     
  6        0.415994     0.001000       31.8s     
  7        0.401003     0.001000       32.1s     
  8        0.408934     0.001000       32.3s     
  9        0.397844     0.001000       33.1s     
  10       0.411627     0.001000       20.6s     
  11       0.406397     0.001000       19.6s     
  12       0.404561     0.001000       20.3s     
  13       0.406715     0.001000       20.2s     
  14       0.410327     0.001000       20.1s     
  15       0.400217     0.000500       20.4s     
  16       0.408399     0.000500       21.1s     
  17       0.407668     0.000500       22.3s     
  18       0.395387     0.000500       20.9s     
  19       0.407926     0.000500       20.7s     
  20       0.412667     0.000500       20.5s     

-- END OF TRAINING --------------------------------------------------

